@relation training

@attribute 'PLAYER1' numeric
@attribute 'PLAYER2' numeric
@attribute 'P2ACE' numeric
@attribute 'P1NETPOINTWON' numeric
@attribute 'P1BREAKPOINTWON' numeric
@attribute 'P1ACE' numeric
@attribute 'P1FIRSTSRVWON' numeric
@attribute 'P1FIRSTSRVIN' numeric
@attribute 'P2UNFERR' numeric
@attribute 'P1DOUBLEFAULT' numeric
@attribute 'P2NETPOINT' numeric
@attribute 'P1FORCEDERROR' numeric
@attribute 'P2BREAKPOINTMISSED' numeric
@attribute 'P2NETPOINTWON' numeric
@attribute 'P2DOUBLEFAULT' numeric
@attribute 'P2SECONDSRVIN' numeric
@attribute 'P2FIRSTSRVIN' numeric
@attribute 'P2SECONDSRVWON' numeric
@attribute 'P2WINNER' numeric
@attribute 'P2BREAKPOINTWON' numeric
@attribute 'P1SECONDSRVIN' numeric
@attribute 'P1WINNER' numeric
@attribute 'P2GAMESWON' numeric
@attribute 'P2BREAKPOINT' numeric
@attribute 'P2FORCEDERROR' numeric
@attribute 'P1GAMESWON' numeric
@attribute 'P1NETPOINT' numeric
@attribute 'P1BREAKPOINTMISSED' numeric
@attribute 'P1UNFERR' numeric
@attribute 'P2FIRSTSRVWON' numeric
@attribute 'P1BREAKPOINT' numeric
@attribute 'P1SECONDSRVWON' numeric
@attribute 'SURFACE' string
@attribute 'WINNER' {1,2}

@data
1,2,9,10,5,9,44,57,38,1,20,27,3,13,5,39,57,18,34,1,22,39,376,4,26,504,16,5,17,39,10,15,HARD,1
1,2,3,9,1,1,36,56,30,3,13,31,4,8,2,20,59,13,36,6,24,15,400,10,25,276,15,3,27,43,4,9,HARD,2
1,2,10,11,2,11,46,55,34,2,22,23,2,15,2,37,48,21,30,0,31,37,495,2,25,520,17,1,26,40,3,24,HARD,1
1,2,1,5,1,2,15,23,8,1,5,7,3,3,0,5,17,4,11,3,14,7,181,6,10,63,11,0,17,10,1,2,HARD,2
1,2,10,18,5,32,57,73,32,3,24,23,3,17,5,40,70,19,54,3,31,51,466,6,40,552,34,4,22,49,9,19,HARD,1
1,2,3,25,6,11,45,60,34,2,54,34,4,31,7,44,69,22,26,2,33,57,367,6,29,637,39,15,35,42,21,19,HARD,1
1,2,2,31,8,3,54,84,48,4,72,48,15,43,4,36,83,16,36,4,48,38,551,19,54,651,43,6,35,51,14,30,HARD,1
1,2,6,15,2,4,27,51,36,2,40,32,10,27,1,29,53,17,36,7,32,16,466,17,18,195,26,1,30,35,3,12,HARD,2
1,2,8,16,5,3,49,62,48,3,22,29,2,15,4,41,55,15,32,0,20,26,314,2,29,460,17,9,21,42,14,11,HARD,1
1,2,3,40,2,15,51,78,10,2,17,40,9,16,1,32,80,18,23,5,47,57,633,14,42,440,65,7,68,62,9,25,HARD,2
1,2,11,14,6,6,51,86,23,6,18,31,8,12,2,50,53,23,50,9,46,34,443,17,54,467,22,3,51,42,9,20,HARD,2
1,2,13,19,1,1,24,47,10,1,19,33,7,13,3,27,40,17,30,7,24,21,356,14,21,126,33,7,27,33,8,8,HARD,2
1,2,10,7,5,11,38,43,39,1,9,22,0,7,4,30,45,15,26,1,22,32,199,1,17,415,8,8,9,31,13,17,HARD,1
1,2,12,5,0,5,28,46,17,2,11,27,8,9,4,15,56,9,31,5,30,15,373,13,28,155,10,3,35,48,3,14,HARD,2
1,2,24,28,0,9,50,68,19,4,24,20,10,21,2,38,39,26,67,3,40,24,509,13,42,404,43,3,19,36,3,18,HARD,2
1,2,10,15,1,6,49,68,40,1,50,46,6,36,1,32,72,20,50,4,40,28,532,10,29,327,26,1,21,57,2,20,HARD,2
1,2,8,17,3,2,38,69,32,1,25,24,8,19,2,21,50,13,44,7,34,19,497,15,24,228,23,6,34,36,9,13,HARD,2
1,2,9,26,4,16,65,92,34,5,22,42,11,15,5,44,69,30,33,7,61,57,974,18,33,624,44,1,77,52,5,23,HARD,2
1,2,10,9,1,5,36,51,21,5,12,41,5,9,1,28,62,12,34,5,40,29,496,10,30,417,19,1,32,51,2,16,HARD,2
1,2,5,13,0,1,27,47,24,0,38,31,2,24,0,17,58,13,29,5,34,21,459,7,21,216,27,1,30,42,1,19,HARD,2
1,2,9,30,5,5,57,95,63,2,56,58,5,40,3,57,91,22,60,6,45,34,853,11,44,759,43,13,34,68,18,23,HARD,2
1,2,5,16,5,6,63,86,44,5,26,41,7,17,0,42,63,20,35,3,34,29,623,10,46,638,26,9,35,45,14,16,HARD,1
1,2,6,7,3,6,37,58,33,4,14,33,11,9,0,25,50,15,26,7,47,21,483,18,24,249,18,1,47,35,4,16,HARD,2
1,2,2,17,3,0,34,47,38,3,32,15,7,19,4,20,47,10,35,1,24,15,217,8,27,388,25,5,15,29,8,14,HARD,1
1,2,9,3,3,6,46,66,49,4,12,30,6,9,6,32,53,14,37,3,23,23,332,9,21,502,13,8,24,42,11,12,HARD,1
1,2,4,4,0,3,6,19,7,0,11,11,1,11,3,9,22,7,23,6,16,5,160,7,5,0,15,3,18,19,3,3,HARD,2
1,2,1,7,8,4,29,45,48,4,15,20,5,9,9,29,48,16,24,5,40,26,363,10,24,470,10,5,33,25,13,24,HARD,1
1,2,2,12,4,3,35,61,33,4,10,28,5,3,2,34,71,20,22,6,24,33,501,11,27,421,20,9,53,41,13,12,HARD,2
1,2,2,9,3,0,21,47,23,3,14,11,5,8,5,27,20,14,28,6,10,8,292,11,15,148,18,2,27,17,5,4,HARD,2
1,2,2,7,6,6,31,43,22,7,14,15,0,9,4,29,51,15,18,4,34,36,228,4,29,463,10,4,43,28,10,19,HARD,1
1,2,3,29,2,4,29,35,35,7,32,33,9,15,4,36,63,19,24,5,57,30,623,14,30,452,39,7,50,48,9,30,HARD,2
1,2,0,15,5,8,24,33,15,1,11,8,5,8,4,9,35,2,16,2,26,33,179,7,18,266,20,4,18,18,9,14,HARD,1
1,2,1,6,3,1,29,50,34,6,9,22,3,8,5,21,60,14,27,5,20,12,371,8,28,309,13,2,39,39,5,12,HARD,2
1,2,5,0,3,0,12,34,22,2,6,15,3,6,10,8,24,5,24,7,22,5,197,10,12,151,0,0,22,18,3,8,HARD,2
1,2,0,8,6,2,31,50,20,1,8,16,8,5,3,16,47,10,9,3,18,31,298,11,25,417,12,7,34,21,13,10,HARD,1
1,2,0,2,6,0,23,31,41,1,5,9,2,4,1,14,32,4,11,2,18,6,71,4,14,302,4,1,16,14,7,9,HARD,1
1,2,0,5,1,3,18,31,27,3,25,13,2,21,7,20,29,15,24,4,9,9,274,6,6,111,8,1,20,21,2,4,HARD,2
1,2,2,7,6,8,51,81,45,6,17,39,11,9,5,54,88,30,42,5,41,52,822,16,43,897,12,14,54,51,20,23,HARD,2
1,2,1,5,1,1,11,27,10,1,15,10,2,12,0,14,23,10,19,6,17,10,209,8,7,54,7,1,26,17,2,6,HARD,2
1,2,1,4,6,10,29,45,32,2,13,15,2,7,1,24,39,11,19,2,18,18,354,4,21,370,7,4,24,21,10,10,HARD,1
1,2,1,17,6,4,41,69,28,7,16,28,7,12,2,33,59,16,33,6,29,46,568,13,20,581,23,5,44,38,11,13,HARD,2
1,2,1,8,8,3,25,44,36,4,15,27,5,8,5,25,72,16,20,6,43,33,494,11,30,432,13,6,47,36,14,24,HARD,1
1,2,2,4,4,0,32,45,32,0,16,17,2,11,4,16,43,10,16,2,16,14,261,4,22,318,7,2,23,25,6,8,HARD,1
1,2,2,13,4,6,56,80,48,9,41,35,7,30,6,24,62,15,29,2,19,31,470,9,25,505,23,5,32,39,9,10,HARD,2
1,2,4,31,8,1,36,70,42,8,20,16,10,10,0,32,67,16,26,9,39,38,530,19,22,563,41,7,72,36,15,19,HARD,2
1,2,2,23,5,5,38,59,33,4,37,31,6,23,2,32,66,15,30,5,41,38,517,11,28,495,34,7,44,43,12,19,HARD,1
1,2,4,17,6,4,49,80,57,2,22,42,8,13,5,45,75,20,36,5,42,33,814,13,36,802,25,10,45,51,16,23,HARD,1
1,2,0,5,0,0,10,26,4,1,9,20,4,8,0,6,23,4,17,6,11,8,202,10,4,0,7,0,14,20,0,1,HARD,2
1,2,1,4,5,4,23,25,16,0,2,4,0,1,5,19,17,7,4,0,8,20,17,0,17,231,7,4,13,9,9,5,HARD,1
1,2,4,5,1,1,25,43,27,8,11,19,8,9,3,15,31,13,20,4,19,10,311,12,14,176,9,1,29,21,2,11,HARD,2
1,2,0,17,5,5,21,27,19,1,15,7,0,8,1,12,30,4,11,1,18,29,64,1,7,246,21,4,16,15,9,10,HARD,1
1,2,2,1,0,1,12,21,18,5,12,8,2,10,2,15,29,11,25,5,14,6,196,7,6,48,4,2,23,20,2,3,HARD,2
1,2,2,12,3,4,30,44,24,5,14,22,3,8,2,29,54,15,21,2,26,26,433,5,36,399,22,10,31,31,13,17,HARD,1
1,2,1,4,1,0,9,19,17,1,4,22,2,3,5,16,27,9,9,5,17,5,245,7,10,37,7,3,22,21,4,5,HARD,2
1,2,1,15,6,3,20,27,20,1,12,7,2,4,5,13,25,2,10,0,9,23,12,2,12,203,18,3,8,13,9,7,HARD,1
1,2,5,12,1,1,25,44,26,3,8,14,4,4,2,23,53,13,34,4,21,24,305,8,15,235,14,2,33,35,3,10,HARD,2
1,2,3,8,6,0,28,44,26,6,28,16,4,18,2,26,46,11,25,3,30,42,258,7,15,290,17,2,30,27,8,19,HARD,1
1,2,1,7,4,7,21,25,15,3,7,16,2,4,3,15,35,7,6,0,17,22,126,2,22,268,12,5,17,20,9,12,HARD,1
