MATCH_ID,TOURNAMENT,YEAR,PLAYER1,PLAYER1_ID,PLAYER2,PLAYER2_ID,WINNER,P2ACE,P1NETPOINTWON,P1BREAKPOINTWON,P1ACE,P1FIRSTSRVWON,P1FIRSTSRVIN,P2UNFERR,P1DOUBLEFAULT,P2NETPOINT,P1FORCEDERROR,P2BREAKPOINTMISSED,P2NETPOINTWON,P2DOUBLEFAULT,P2SECONDSRVIN,P2FIRSTSRVIN,P2SECONDSRVWON,P2WINNER,P2BREAKPOINTWON,P1SECONDSRVIN,P1WINNER,P2GAMESWON,P2BREAKPOINT,P2FORCEDERROR,P1GAMESWON,P1NETPOINT,P1BREAKPOINTMISSED,P1UNFERR,P2FIRSTSRVWON,P1BREAKPOINT,P1SECONDSRVWON,PLAYER1_WON_SETS,PLAYER2_WON_SETS
2011-ausopen-1205,AUS_OPEN,2011,Mikhail Youzhny,atpy061,Blaz Kavcic,atpk834,1,6,47,7,14,62,84,40,4,45,51,10,24,8,46,89,25,35,3,58,76,578,13,40,678,66,3,47,58,10,34,3,2
2011-ausopen-1206,AUS_OPEN,2011,Milos Raonic,atpr975,Michael Llodra,atpl428,1,10,25,2,21,56,64,20,1,36,45,1,19,2,39,67,21,25,1,30,49,571,2,44,626,40,4,20,51,6,21,3,0
2011-ausopen-1207,AUS_OPEN,2011,David Nalbandian,atpn301,Richard Berankis,atpbe90,2,8,5,0,0,12,28,12,3,6,14,6,4,1,17,25,13,28,6,15,5,213,12,9,30,13,1,21,21,1,5,0,2
2011-ausopen-1208,AUS_OPEN,2011,Michael Russell,atpr368,David Ferrer,atpf401,2,8,13,0,4,31,47,22,4,18,27,7,16,3,21,39,17,28,7,31,18,444,14,15,194,17,0,35,32,0,10,0,3
2011-ausopen-1209,AUS_OPEN,2011,Robin Soderling,atpsa49,Gilles Muller,atpma30,1,8,10,3,6,42,45,33,5,11,23,0,8,1,29,45,12,23,0,28,30,310,0,29,416,13,1,15,35,4,22,3,0
2011-ausopen-1212,AUS_OPEN,2011,Andreas Seppi,atpsa93,Jo-Wilfried Tsonga,atpt786,2,20,17,2,8,42,55,47,3,37,40,3,22,4,39,78,19,46,3,38,25,676,6,30,595,22,6,29,62,8,20,0,3
2011-ausopen-1213,AUS_OPEN,2011,Jurgen Melzer,atpm762,Pere Riba,atpr750,1,5,18,6,9,38,49,33,2,10,23,0,8,6,32,45,16,18,1,22,34,190,1,23,466,25,5,25,27,11,12,3,0
2011-ausopen-1214,AUS_OPEN,2011,Juan Martin Del Potro,atpd683,Marcos Baghdatis,atpb837,2,15,16,2,10,45,74,29,3,21,29,6,13,5,50,48,28,46,6,32,34,491,12,33,323,20,3,41,42,5,18,1,3
2011-ausopen-1215,AUS_OPEN,2011,Guillermo Garcia-Lopez,atpg476,Eduardo Schwank,atpse66,1,2,16,4,4,40,46,63,4,38,37,1,24,8,31,73,16,21,1,35,26,565,2,22,559,25,5,28,49,9,24,3,0
2011-ausopen-1216,AUS_OPEN,2011,Illya Marchenko,atpme89,Andy Murray,atpmc10,2,16,16,1,5,21,39,15,4,16,26,2,12,0,30,52,13,31,6,28,28,392,8,19,195,25,3,34,41,4,13,0,3
2011-ausopen-1217,AUS_OPEN,2011,Tomas Berdych,atpba47,Philipp Kohlschreiber,atpk435,1,13,15,4,11,59,70,48,6,37,40,2,22,5,41,74,17,43,1,45,35,410,3,50,670,25,5,25,54,9,25,3,1
2011-ausopen-1218,AUS_OPEN,2011,Adrian Mannarino,atpme82,Richard Gasquet,atpg628,2,11,17,2,5,39,62,33,3,25,25,6,16,3,27,66,17,44,3,42,35,554,9,20,494,28,2,46,51,4,21,0,3
2011-ausopen-1219,AUS_OPEN,2011,Florian Mayer,atpmb02,Kei Nishikori,atpn552,2,2,24,4,6,52,76,34,5,25,34,7,18,5,45,66,28,43,5,37,42,475,12,37,488,39,6,44,43,10,16,1,3
2011-ausopen-1220,AUS_OPEN,2011,Janko Tipsarevic,atpt742,Fernando Verdasco,atpv306,2,23,12,5,17,56,84,65,6,14,45,7,11,7,48,96,22,68,6,64,51,721,13,28,812,23,15,48,74,20,33,2,3
2011-ausopen-1221,AUS_OPEN,2011,Nicolas Almagro,atpa479,Igor Andreev,atpa511,1,20,15,5,10,66,85,63,5,30,63,6,23,5,56,114,30,55,6,73,48,967,12,58,978,23,8,51,84,13,42,3,2
2011-ausopen-1222,AUS_OPEN,2011,Benoit Paire,atppd31,Ivan Ljubicic,atpl360,2,8,37,3,13,57,79,29,6,37,46,10,22,1,47,80,28,29,6,60,59,786,16,44,735,55,0,66,55,3,30,1,3
2011-ausopen-1224,AUS_OPEN,2011,Ivan Dodig,atpd646,Novak Djokovic,atpd643,2,9,16,1,8,57,84,50,6,39,58,13,22,3,39,79,27,49,7,56,23,842,20,48,529,35,4,39,59,5,29,1,3
2011-ausopen-1225,AUS_OPEN,2011,Andy Roddick,atpr485,Igor Kunitsyn,atpk403,1,4,8,3,17,47,55,33,5,39,27,3,26,0,31,60,19,31,0,22,31,413,3,35,536,15,4,16,40,7,20,3,0
2011-ausopen-1226,AUS_OPEN,2011,Robin Haase,atph756,Juan Monaco,atpma21,1,2,35,7,8,64,99,38,3,45,39,12,30,2,36,83,18,42,5,46,54,398,17,50,722,51,8,46,48,15,23,3,1
2011-ausopen-1227,AUS_OPEN,2011,Stanislas Wawrinka,atpw367,Grigor Dimitrov,atpd875,1,2,5,6,8,33,43,27,0,24,37,5,12,6,31,45,16,23,2,37,26,336,7,38,466,7,4,11,32,10,24,3,0
2011-ausopen-1228,AUS_OPEN,2011,Frederico Gil,atpg717,Gael Monfils,atpmc65,2,8,34,4,0,49,90,41,0,59,35,5,38,5,30,69,17,48,6,37,34,465,11,33,400,48,3,40,49,7,21,1,3
2011-ausopen-1229,AUS_OPEN,2011,Mardy Fish,atpf339,Tommy Robredo,atpr419,2,1,26,3,13,48,69,27,5,26,37,9,20,2,28,75,14,31,5,43,46,429,14,30,386,52,5,51,55,8,19,1,3
2011-ausopen-1230,AUS_OPEN,2011,Sergiy Stakhovsky,atpsc77,Lukasz Kubot,atpk540,1,5,18,8,9,39,58,36,5,42,26,3,25,8,24,60,10,31,5,22,31,361,8,31,399,29,6,22,34,14,11,3,0
2011-ausopen-1232,AUS_OPEN,2011,Gilles Simon,atpsd32,Roger Federer,atpf324,2,11,12,5,9,49,88,53,5,64,60,10,46,1,48,77,21,51,8,62,44,676,18,33,541,27,4,40,61,9,37,2,3
2011-ausopen-1301,AUS_OPEN,2011,Rafael Nadal,atpn409,Bernard Tomic,atpta46,1,11,15,7,4,38,56,49,4,21,21,6,13,3,34,66,13,39,2,37,32,414,8,27,468,22,12,32,42,19,22,3,0
2011-ausopen-1302,AUS_OPEN,2011,John Isner,atpi186,Marin Cilic,atpc977,2,22,28,1,26,97,128,42,5,27,58,6,14,8,72,106,54,75,3,52,67,1236,9,70,1086,42,10,59,81,11,31,2,3
2011-ausopen-1303,AUS_OPEN,2011,Mikhail Youzhny,atpy061,Milos Raonic,atpr975,2,31,8,4,3,45,71,54,2,31,33,2,15,2,34,77,22,64,6,44,24,572,8,29,567,18,1,26,55,5,26,1,3
2011-ausopen-1304,AUS_OPEN,2011,Richard Berankis,atpbe90,David Ferrer,atpf401,2,5,16,1,1,26,52,15,5,11,26,11,9,1,23,33,14,23,8,34,18,361,19,20,143,25,0,46,29,1,13,0,3
2011-ausopen-1305,AUS_OPEN,2011,Robin Soderling,atpsa49,Jan Hernych,atph442,1,0,13,6,10,38,45,32,3,22,27,2,14,1,31,60,14,8,1,27,33,232,3,35,405,16,6,32,32,12,16,3,0
2011-ausopen-1306,AUS_OPEN,2011,Alexandr Dolgopolov,atpd801,Jo-Wilfried Tsonga,atpt786,1,6,11,9,9,46,57,58,3,36,36,5,24,8,38,70,15,40,5,47,38,386,10,25,457,22,6,26,50,15,24,3,2
2011-ausopen-1307,AUS_OPEN,2011,Jurgen Melzer,atpm762,Marcos Baghdatis,atpb837,1,4,26,7,6,53,74,41,5,27,25,6,14,0,37,60,19,25,2,33,39,427,8,35,590,45,6,44,38,13,22,2,1
2011-ausopen-1308,AUS_OPEN,2011,Guillermo Garcia-Lopez,atpg476,Andy Murray,atpmc10,2,10,8,1,3,26,45,18,4,15,24,3,11,1,20,37,12,24,8,20,13,334,11,17,104,14,1,31,29,2,5,0,3
2011-ausopen-1309,AUS_OPEN,2011,Tomas Berdych,atpba47,Richard Gasquet,atpg628,1,9,10,5,9,44,57,38,1,20,27,3,13,5,39,57,18,34,1,22,39,376,4,26,504,16,5,17,39,10,15,3,0
2011-ausopen-1310,AUS_OPEN,2011,Kei Nishikori,atpn552,Fernando Verdasco,atpv306,2,3,9,1,1,36,56,30,3,13,31,4,8,2,20,59,13,36,6,24,15,400,10,25,276,15,3,27,43,4,9,0,3
2011-ausopen-1311,AUS_OPEN,2011,Nicolas Almagro,atpa479,Ivan Ljubicic,atpl360,1,10,11,2,11,46,55,34,2,22,23,2,15,2,37,48,21,30,0,31,37,495,2,25,520,17,1,26,40,3,24,3,0
2011-ausopen-1312,AUS_OPEN,2011,Viktor Troicki,atpt840,Novak Djokovic,atpd643,2,1,5,1,2,15,23,8,1,5,7,3,3,0,5,17,4,11,3,14,7,181,6,10,63,11,0,17,10,1,2,0,1
2011-ausopen-1313,AUS_OPEN,2011,Andy Roddick,atpr485,Robin Haase,atph756,1,10,18,5,32,57,73,32,3,24,23,3,17,5,40,70,19,54,3,31,51,466,6,40,552,34,4,22,49,9,19,3,1
2011-ausopen-1314,AUS_OPEN,2011,Stanislas Wawrinka,atpw367,Gael Monfils,atpmc65,1,3,25,6,11,45,60,34,2,54,34,4,31,7,44,69,22,26,2,33,57,367,6,29,637,39,15,35,42,21,19,3,0
2011-ausopen-1315,AUS_OPEN,2011,Tommy Robredo,atpr419,Sergiy Stakhovsky,atpsc77,1,2,31,8,3,54,84,48,4,72,48,15,43,4,36,83,16,36,4,48,38,551,19,54,651,43,6,35,51,14,30,3,1
2011-ausopen-1316,AUS_OPEN,2011,Xavier Malisse,atpm680,Roger Federer,atpf324,2,6,15,2,4,27,51,36,2,40,32,10,27,1,29,53,17,36,7,32,16,466,17,18,195,26,1,30,35,3,12,0,3
